feature,importance
hour,19.8693406255154
aqi,1.0206010216511219
aqi_lag_24,0.8537612264762161
pm25_rolling_std_6,0.5626789960738439
temperature_lag_2,0.5260219668411719
humidity,0.5128884454296313
aqi_rolling_std_6,0.4742960601839583
aqi_lag_3,0.4001316414796767
o3,0.3779726624340909
temperature_rolling_std_6,0.36157917151620284
aqi_lag_1,0.3584308792788562
temperature_rolling_mean_12,0.355873950061987
temperature_rolling_mean_24,0.348725889637391
aqi_lag_2,0.3462618972487478
temperature_lag_1,0.333619693009368
temperature_lag_24,0.3291214855987385
temperature_rolling_std_12,0.3087066269509295
aqi_change_rate,0.3063194271679162
temperature_lag_3,0.3012091959492535
aqi_rolling_mean_12,0.28391793487501915
temperature_rolling_mean_6,0.2784475783093656
aqi_change_rate_pct,0.27754718445776927
aqi_rolling_mean_24,0.2718817613903895
pm25_rolling_std_12,0.26653548906492835
temp_change_rate,0.252671699573666
aqi_rolling_std_12,0.24750713416188236
aqi_rolling_mean_6,0.2442827048492412
co,0.2430337591408567
wind_speed,0.2419945649716149
temperature,0.24091045177552262
